Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Type,Target
nama jonru ginting status terlapor ujaran kebencian diduga mendukung anies sandi,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
berbicara geblek,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
mm dipercayai orang noob xf0 x9f x98 x9f,0,0,0,0,0,0,0,0,0,0,0,0,None,None
setuju usir buddha indonesia,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
menghina islam muhammad budi sukunya mengajar salat pahala allah subhanahu wa taala,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
bubarkan ikatan alumni universitas indonesia oi,1,0,0,1,0,0,0,0,1,0,0,1,Hate Speech,Group
kampret antek asing,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
secepatnya islam dinyatakan sesat menyesatkan bank syariat,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
buku langka tuanku rao teror agama islam mazhab hambali tanah batak 1816 1833 1964 690 halaman hard cover minat,0,0,0,0,0,0,0,0,0,0,0,0,None,None
calon presiden tes urine badan narkotika nasional lakukan tes urine c informasi teknologi teknologi digital,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ikutan kampret,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
fotonya bera i disembunyikan berbusa sabun sok klin mawar cap buaya dikibuli wajar ku percaya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gubernur menabrak etika menjabat lantik gubernur dukun ya calon presiden senang presiden menjabat ya dilantik beliau calon gubernur dukung presiden mencalonkan gubernur,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
lt strong dasar cebong dungu 7 turunan lt strong,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
serius nih berita polisi ikutan politik beraninya tukang becak doang pakai ketakutan ya power sindrom melanda istana lawan tukang becak,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
rezim menteri nya lucu,0,0,0,0,0,0,0,0,0,0,0,0,None,None
prabowo subianto restui ketua gerindra jawa maju pilihan gubernur alasannya uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
rute pondok cina gang sentiong keberangkatan pe tersedia 04 28 indonesia barat tks 2,0,0,0,0,0,0,0,0,0,0,0,0,None,None
serahkan nasib bangsa orang orang mengabdi meng kacungkan cukong cukong asing pengkhianat negara kesatuan republik indonesia pemodal dana kampanye 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
era kapitalisme korporasi tumbuh gigantik berkuasa kuat ekonomi melampaui negara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
seekor monyet kebun binatang tianjin cina viral memiliki wajah sepe i manusia monyet berus xe2 x80 xa6,0,0,0,0,0,0,0,0,0,0,0,0,None,None
aimu ai demokrasi indonesia perjuangan bajingan,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
kaum 1 2 kafir otak junk food nya berkelit mencatut islam kegiatan kegiatan merusak aqidah islam,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
iya sih jokowi meninggalkan solo kafir solonya keren bersih jokowi meninggalkan jaka a kafir jaka a keren sungai bersih kerja becus tanah abang ruwet parah kali xc2 xb2,0,0,0,0,0,0,0,0,0,0,0,0,None,None
maksud pemerintah dihibahkan tercatat aset dianggarkan biaya perbaikan perawatannya rutin,0,0,0,0,0,0,0,0,0,0,0,0,None,None
alaaaahhhhh omongan cebong ketahuan kemana arahnya pakai tol kelok 1000 sok sok islam bong,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
mendungukan membiadabkan bangsa mengajak menyembah menyembah allah subhanahu wa taala dungu biadab,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
jokowi mundur pas,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
tau gue war jubah jubahan menyimak ya kyungsoo taehyung bias gue gue war kampang,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
binatang terkutuk,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 bilangnya anti asing asing asong kafir kafir kampretttt manusia munafik suka asing impo bawang puti,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
pagi amal post minum kopi gagal fokus meja makan kayu dikasih taplak eh bagus lihat cangkir kopinya bagus eh rak dibelakangnya suka xf0 x9f x99 x88 xf0 x9f x98 x84 penataan display,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ayo bahasa budaya haha,0,0,0,0,0,0,0,0,0,0,0,0,None,None
risaunya nih pengasuh lesbi xf0 x9f x98 x91,0,0,0,0,0,0,0,0,0,0,0,0,None,None
dasar tolol,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
terhormat pelacur pakde iblis betina kerjanya menyebarkan hoaks nista sih hidup,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
gantinya presiden celeng langsung kelojotan salah rocky gerung bilang celeng dungu stabil,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
memek sodok,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
pesona budaya suku kamoro papua rambah wilayah timur swiss kanton st gallen 10 04 2018,0,0,0,0,0,0,0,0,0,0,0,0,None,None
menentukan sistem metabolisme orang makan penyerapannya gampang gendut sistem penyerapannya rendah biar makan kurus xf0 x9f x98 x81,0,0,0,0,0,0,0,0,0,0,0,0,None,None
menyediakan lapangan pekerjaan 24 000 orang indonesia karyawan perseroan terbatas freepo indonesia 69 75 karyawan nasional 28 05 karyawan papua a 2 2 karyawan asing freepo 51,0,0,0,0,0,0,0,0,0,0,0,0,None,None
melangkah arah dimana buta warna penghambat sih menteri presiden pas bijak,0,0,0,0,0,0,0,0,0,0,0,0,None,None
rezim soeha o izin perluasan 2 5 juta hektare 1989 kontrak anyar freepo 51,0,0,0,0,0,0,0,0,0,0,0,0,None,None
coba helikopternya dipakai united kingdom menyerang yahudi zionis ya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
isu ai komunis indonesia muncul semenjak tabloid obor rakyat isu fitnah jokowi keturunan ai komunis indonesia berkembang menjatuhkan menyudutkan presiden jokowi romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0,None,None
bangkai,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
cnn indonesia proyek strategis presiden jokowi selesai periode kabinet kerja,0,0,0,0,0,0,0,0,0,0,0,0,None,None
giliran disodorkan fakta cebong diam cebong sengsara dukung dilan otaknya terkontaminasi gerak cepat pikir waras,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
siang siang enaknya diciumi pecun uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
minuman keras oplosan pelarian warga akibat ekonomi sosiolog oi paulus wirutomo menyebut,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anak raja anak ulama menulislah imam al ghazali,0,0,0,0,0,0,0,0,0,0,0,0,None,None
amp hukuman sih bangkai keturunan babi keparat penderitaan alami rakyat indonesia nusantara dalamnya bahasa adat istiadat budaya ras agama suku pemimpin a,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
cebong girang kibuli najis bong mata picek,1,1,0,1,0,0,1,0,0,0,1,0,Hate Speech & Abusive,Group
takiyuddin kerusi parlemen ditandingi abdul hadi pru 14,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ayat dikaji penggalah kepala pancunglah ujung jari 8 12,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
bak sampah jerman anis diresmikan toilet keliling gunting pitanya ya nomor induk siswa,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
jodoh ditangan tuhan mantan ditangan setan,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
bunyi bunyi langsung telusuri back up berafiliasi langsung cap antek setahu wa awan2 australia belanda papua rutin cek cek ham tau ya rutin,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pakar ekonomi sambut positif jokowi harry tanoe,0,0,0,0,0,0,0,0,0,0,0,0,None,None
seandainya jend suha o 1965 nasib bangsa indonesia negara komunis ateis,1,0,0,1,1,1,0,0,0,0,1,0,Hate Speech,Group
sanggup menangkap presiden petugas ai jujungan mangkrak ya jinjingan,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
lawan politik tebar fitnah upaya jegal prabowo maju pemilihan presiden 2019 uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
tau junjungan cebong licik ya menghamba tukang menipu,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
bikin film bakar bakar sekolahan pencitraan uniform resource locator,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
mari doakan penegak hukum kesehatan keselamatan gaji 13 tunjangan raya berlimpah diumumkan presiden mengangkat 200 orang orang menghina agama islam duta pancasila salam hangat pip,0,0,0,0,0,0,0,0,0,0,0,0,None,None
oooohhh oke pasal pusat keamanan elok malaysia menasihati tekanan arab saudi bom yaman nak bds arab saudi malaysia orang bangga makan mc donalds produk,0,0,0,0,0,0,0,0,0,0,0,0,None,None
fubu an pelajari calon nernya langsung hajar pakai analisa swot pelajari kekuatannya kelemahannya oppo unity kayak amp threat sebahaya logika gara gara disyerpik ketemu langsung sikat psiko mampus l,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
pendukung rezim warrrbisah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
hati hati orang orang kader gus dur pribumi antek cina dipasang rezim mengeprek,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
2019 ganti presiden pengangguran meningkat,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
kecoak berbicara juntrungannya ya gue tinggal mutu berbicara orang dungu kayak,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
presiden jokowi bikin pegawai negeri sipil bahagia kebijakannya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
indonesia milik islam kristen buddha hindu camkan,0,0,0,0,0,0,0,0,0,0,0,0,None,None
tindak kecurangan pasangan calon mengotori pilihan kepala daerah sumatra utara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
bodoh bangsa gue ujian semester uniform resource locator,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
hamil haha gembrot lucu banget,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
profesor bilang,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
berharap rezim mustahil pesan nih bahan pencitraan pemilihan presiden 2019 ganti presiden xf0 x9f xa4 xaa xf0 x9f xa4 xaa xf0 x9f xa4 xaa xf0 x9f xa4 xaa,0,0,0,0,0,0,0,0,0,0,0,0,None,None
solo rank comeback sakit xf0 x9f x98 x82 tau tank takut war xf0 x9f x98 x82 hilda cacat xf0 x9f x98 x85 emosi bangkai xf0 x9f x98 x85,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
jijik manusia homo,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
tuli tuli bom orang rusia lullaby xf0 x9f x98 xb0 xf0 x9f x98 xb0 xf0 x9f x98 xa8,0,0,0,0,0,0,0,0,0,0,0,0,None,None
coincidentally berdoa makan bersamaan mas mas katolik meja he made sign of the cross mbak mbak kristen meja samping i think she folded her hands adem banget xe2 x98 xba xef xb8 x8f xe2 x98 xba xef xb8 x8f xf0 x9f x92 x96 xf0 x9f,0,0,0,0,0,0,0,0,0,0,0,0,None,None
udik pecahkan balon wkwk,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
dasar celeng,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
bank pemerintah gulung tikar kmdn jual asing asing,0,0,0,0,0,0,0,0,0,0,0,0,None,None
mega rona utusan malaysia 11april politik beli utusan malaysia langgan islam muslim alquran keluarga wanita kesehatan hiburan a is budaya sains teknologi alam alumni kampus universitas wira tentera polis,0,0,0,0,0,0,0,0,0,0,0,0,None,None
innalillahi ilaihi rojiun keluarga nahdlatul ulama berduka cita mendalam wafatnya kiai kholilurrahman ra lilur cicit syaikhona kholil bangkalan semoga allah merahmati menempatkan ra lilur sisi nya amin,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pegang rusia takut dituduh antek komunis pegan kroasia takut dituduh antek kafir semenjak tukang tuduh hpup sulit,0,0,0,0,0,0,0,0,0,0,0,0,None,None
maling teriak maling kafir teriak kafir orang orang kayak lahirnya campur tai,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
sih anak kampang muncul twitter,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
bapaknya sih kakak cocot sitohang,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
laki laki berengsek laki laki berengsek dunia,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
puisi karya lahir orde menyuarakan suara orang orang te indas gerakan reformasi orde,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kayak kontol,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
unik jokowi,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
kelebihan orang tau tun chedet turn tau nak pm,0,0,0,0,0,0,0,0,0,0,0,0,None,None
nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi fiksi ulama dungu memperingati nuzul alquran mengikuti logika,1,1,1,0,1,0,0,0,0,1,0,0,Hate Speech & Abusive,Individual
teriak allah hu barbar rusak telinga fahri diskusi buang islam dewan perwakilan rakyat,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
kkkkkkkkkkkkkk cebong intelligence quotient ratus sp i junjunganmu dungu plonga plongo 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
isu kemanusiaan rohingya membuktikan ketidakcermatan tim mengelola isu,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,Group
selamat siang masyarakat banten sambut pilihan kepala daerah serentak 2018 banten penuh kebahagiaan a aman kondusif,0,0,0,0,0,0,0,0,0,0,0,0,None,None
menyesal bangsat v sakit tunggu sehat ya lihat lakukan bangsat,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
kafir menyamar pemakan babi mulut junjungannya tolak,1,1,1,0,1,0,0,0,0,1,0,0,Hate Speech & Abusive,Individual
eh serius muntah benaran tai hyung,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
sinting merusak,1,1,1,0,0,0,1,0,0,1,0,0,Hate Speech & Abusive,Individual
aki amien rais bilang prabowo karno karno mempersatukan suku agama ras pulau negara kesatuan republik indonesia prabowo memecah belah dasar mabuk aki,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
hmmmm somi mencium bau bau bangkai,0,0,0,0,0,0,0,0,0,0,0,0,None,None
dewan perwakilan rakyat revisi undang undang terorisme revisi undang undang kalimat kalimat ambigu tujuannya bagus salah paham salah paham merusak harmonisasi kewarganegaraan memecah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
mengiklankan promo cashback aplikasinyya penggunaan kode berhasil cashback masuk masuk bilangnya kesalahan sistem promo bodoh oi kesalahan sistem urusanku cashback 20 dijanjikan olehmu uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
salah belajar kacamata acara televisi salah lanjutkan lakukan positif banget dasarnya tolol berkembang,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
ulama nu mengajarkan menghormati berbeda agama suku bahasa budaya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
rezim jokowi baca rezim susilo bambang yudhoyono jilid 3 meraih dukungan republiken isu islam radikal terorisme islam ancaman isis islam nusantara lgbt digoreng republiken as presiden ri tang,1,0,1,0,1,0,0,0,0,1,0,0,Hate Speech,Individual
silaturahmi pimpinan dewan kemakmuran masjid masjid al kautsar h toniman beliau mendoakan hasanah menang pilihan kepala daerah jabar menyukseskan program program hasanah pro rakyat bravo hasanah jawa barat hasanah 2 hasanah jawa barat,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anti kebhinekaan cebong dituduh umat islam,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
begitukan pemain persija kayak kebakaran kumis nsupo er bawa perasaan kelakuan pemain xe2 x80 xa6,0,0,0,0,0,0,0,0,0,0,0,0,None,None
berdalih 4 pilar majelis permusyawaratan rakyat dungukan biadabkan bangsa dakwah islam menyeru menyembah menyembah allah subhanahu wa taala benci kafir memecahkan bangsa,1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech & Abusive,Group
kno gue bilang bencong hati makan duit pemerintahan sah mengganti dasar pancasila negara khilafah bencong namanya,1,1,0,1,0,0,0,1,0,0,1,0,Hate Speech & Abusive,Group
selamat sore twit 18 4 presiden jokowi memimpin rapat terbatas ratas membahas perkembangan persiapan asian games xviii 2018 istana kepresidenan bogor jawa barat butir arahannya simak ya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pemerintah menetapkan daftar proyek strategis nasional direalisasikan sih,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pemerintahan gus ipul puti memperkuat program nawacita presiden jokowi jawa timur salam 2 jari gus ipul puti santun,0,0,0,0,0,0,0,0,0,0,0,0,None,None
mari ngewe,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
aaaamiiiiiiinnnn mudah mudahan geblek riya posting gaji 13 14 lini,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
dengar laut banda te utup peneliti asing regulasinya penelitian laut banda leader nya peneliti indonesia kapal riset indonesia menye peneliti asing,0,0,0,0,0,0,0,0,0,0,0,0,None,None
oke point cebong dungu intelligence quotient sekolam mengeyel ujung ujungnya kolam pokoknya ganti ya xf0 x9f x98 x82,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
pemikiran arah riskan dihantam posisinya ditengah penyeimbang condong habislah hitam hitam 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
september perang ai komunis indonesia desember perang topi santa prabowo menteri peranan wanita,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
ya bajingan terima kasih,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
alay hyung gue hidup nista alay,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
gerombolan ai keadilan sejahtera booking pecun hotel travel fashion hotel area gunung sahari plus markas alexis tumbal pencitraan sisanya amankan wan abud,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
tahukah mengajak 4 orang kawan adik beradik sedarah mara jiran 1 taman membeli pekerja seks komersial berjemaah pekerja seks komersial shj promosi nih tamat xe2 x80 xa6 uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0,None,None
panitia pengawas pemilihan sukamara terima laporan pelanggaran pilihan kepala daerah,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kebijakan indonesia be entangan kepentingan cina,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
lupa ayahnya mati bom bunuh susilo bambang yudhoyono linglung,0,0,0,0,0,0,0,0,0,0,0,0,None,None
dewan perwakilan rakyat majelis permusyawaratan rakyat ambil tindakan pecat terhormat setya novanto sudi diwakili manusia hina te rakyat indonesia,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
iya huhu orangnya udik langsung xf0 x9f x98 x82 xf0 x9f x98 x82 sepe inya peru kompilasi bilang waaah,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
dungu super er promosikan film wkwk berpolitik wkwk persib politik,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
cewek manusia homo,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech & Abusive,Individual
usir buddha myanmar kacau sepe i myanmar,1,0,0,1,1,1,0,0,0,0,1,0,Hate Speech,Group
sulit menutup kebocoran kapal dimana ya ganti kapal,0,0,0,0,0,0,0,0,0,0,0,0,None,None
heran deh ya cape lari lari pikiranku,0,0,0,0,0,0,0,0,0,0,0,0,None,None
norak kampungan nagita slavina ibunda ayu ting ting doakan uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
ya orang indonesia disuruh te ib susah banget salah contohnya te ib kereta listrik xe2 x80 xa6,0,0,0,0,0,0,0,0,0,0,0,0,None,None
inikan rezim anti islam ya nge,1,0,1,0,1,0,0,0,0,1,0,0,Hate Speech,Individual
provokasi lengserkan jokowi gue lengserkan jusuf kalla biar adil biar ramai tamak,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
tante kunti jutanya lumayan lebaran nih xf0 x9f x98 xa5,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gila ya bikin webtoon matahari 1 2 lingkaran nikah arka sinting gue menangis,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
tonton perhatikan praktikan mantap need kuat bottom like that anjing parah gay video gay video gvid gay bandung xe2 x80 xa6,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
rezim sensasional tindakan peristiwa nalar dominan berdoalah semoga mendeklarasikan islam cebong nusantara xf0 x9f x99 x8f,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
tentara saudi suriah isis banci lari libya uniform resource locator uniform resource locator,1,1,0,1,1,0,0,1,0,0,1,0,Hate Speech & Abusive,Group
bayaran a is ya menangis te awa tersakiti multi talenta na is film komunis,0,0,0,0,0,0,0,0,0,0,0,0,None,None
ahok bebas ulama komando revolusi lengserkan jokowi sumber uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
rindu bajingan,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
selamat penderitaan orang ih uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
rindu pemimpin pemimpin sepe i,0,0,0,0,0,0,0,0,0,0,0,0,None,None
fabi ayyi ala i rabikuma tukazziban alhamdulillah nikmat tuhan dustakan terima kasih jokowi 2019 jokowi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
buddha membantai muslim rohingya,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
presiden trump as korea utara adakan pembicaraan langsung tingkat presiden amerika donald trump berita dunia voa,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kebijakan pengembalian barang konsumen barang rusak cacat produksi konsumen puas produk terhitung 7 tanggal pembelian haus mini kuiz hazid,0,0,0,0,0,0,0,0,0,0,0,0,None,None
pendusta pemimpin agama kristen ya teh,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
goblok twit sih apes omongan sih prabowo mengarah kesitu,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
haha bom,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kakak kredit pinjaman negara,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
mbappe nama nita apriani domisili palembang kuis mingguan gue sehat nomor identitas youtube nita apriani,0,0,0,0,0,0,0,0,0,0,0,0,None,None
paham pemerintah pusat terkesan surat pemberitahuan tahunan membiarkan anjing program program bego progresifnya taunya ya biar masyarakat nilai program program hancur hancur ya namanya anjing pose elang ngepet uniform resource locator,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
tulisan pagi budaya merugikan kesehatan semoga berguna,0,0,0,0,0,0,0,0,0,0,0,0,None,None
dipimpin pendorong kuat ump layak amp program badan penyelenggara jaminan sosial era penuh perubahan kalangan buruh migran lokal uniform resource locator jokowi cak imin jokowi majukan ekonomi umat join 2019 join jombang,0,0,0,0,0,0,0,0,0,0,0,0,None,None
iya gara gara bupati samosir bilang jokowi presiden pe samosir hater ramai ramai membantah bilang hoaks foto soekarno tepi danau toba tau danau toba dikelilingi 7 kabupaten hater orang sumatra utara,0,0,0,0,0,0,0,0,0,0,0,0,None,None
gue galak kasar omongannya dijaga pacar gue menerima gue sayang kakak xe2 x80 xa6,0,0,0,0,0,0,0,0,0,0,0,0,None,None
anak anak memikul bom menuruti delusi orang tuanya,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kaum cebong dungu saham pengambilan keputusan mayoritas keuntungan memangnya gaji pekerja alatnya freepo,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
pakai jilbab komunis megawati sri mulyani puan maharani mentwit pintar ya tong,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
gue cerita bangsat suka sad mewek benaran gue bacanya gembel banget sih wkwk,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
bacot,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech & Abusive,Individual
bodoh te arik titik,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
karno anti asing indonesia pbb gerakan non blok beliau mayoritas jawa memujanya dijadikannya presiden seumur hidup mentah min,0,0,0,0,0,0,0,0,0,0,0,0,None,None
kondisi mencret minum susu kental manis disebabkan kadar gula dalamnya kondisi faktor sepe i intoleransi individu susu sapi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
jokowi staf ahli khusus mempe ahankan aset nasional diktator jomlo lokal,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
orang tolol idiot bahaya dengar xe2 x80 x9chutang xe2 x80 x9d dijadikan bahan bully pemerintah kritik presiden hutang menyebabkan cashflow negara negatif,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,None
ayahku tsundere dingin jarang omongan canggung orang asing kadang receh pelit wkwk langsung dibelikan beda mama menabung madrid jam 2 siang,0,0,0,0,0,0,0,0,0,0,0,0,None,None
masif cina antek komunis uniform resource locator,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
asli bego selesai selesai nih ai kualitas kayak ai allah wkwk begonya bani micin setia mendukung bosnya calon presiden dumb ception,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech & Abusive,Group
100 orang indonesia waras sehat jasmani rohani percaya presiden jokowi muslim berpengaruh dunia kecuali kader anggota gerindra percaya 2019 jokowi,0,0,0,0,0,0,0,0,0,0,0,0,None,None
miiinn ya lembar be ambah aduh maaf min celeng nge i haha terima kasih min re the best,0,0,0,0,0,0,0,0,0,0,0,0,None,None
rakyat mendengar sesuai aturan kabar media terduga korupsi berita tenaga kerja asing memenuhi lini berita televisi uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0,None,None
proses buang islam main paksa kesadaran,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
ahok tamat penjarakan ahok penjarakan ahok,1,0,1,0,0,0,0,0,1,0,0,1,Hate Speech,Individual
isu ai komunis indonesia hembuskan grup grup pendukung prabowo,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,Group
tolonglah ajak buzzer pintar anggar jago menghina orang suka pakai lapor polisi aduh,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
haji penipuan ibrahim dikubur kabah biarkan rakyat ditipu lukman,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,Group
sinting kah km bos bubarkan komisi pemberantasan korupsi km orang orangmu,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,Individual
